CrewID,BaseRole,Date,Flights,FlightRoles,TotalFlyingTime(min),TotalDutyTime(min),DeadheadCount,StartCity,EndCity,HotelRequired
A0001,Captain,2021-08-11,FA680,Captain,90,90,0,NKX,PGX,Yes
A0001,Captain,2021-08-12,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0001,Captain,2021-08-13,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0001,Captain,2021-08-15,FA854,Captain,100,100,0,NKX,CTH,Yes
A0001,Captain,2021-08-17,FA872 -> FA873,Captain -> Captain,135,175,0,NKX,NKX,No
A0001,Captain,2021-08-18,FA888 -> FA889,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0001,Captain,2021-08-19,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0001,Captain,2021-08-20,FA812 -> FA813 -> FA864 -> FA865,Captain -> Captain -> Captain -> Captain,425,565,0,NKX,NKX,No
A0001,Captain,2021-08-22,FA890 -> FA891 -> FA864,Captain -> Captain -> Captain,385,705,0,NKX,PXB,Yes
A0001,Captain,2021-08-24,FA884,Captain,140,140,0,NKX,XGS,Yes
A0001,Captain,2021-08-25,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0002,Captain,2021-08-11,FA854 -> FA855,Captain -> Captain,205,250,0,NKX,NKX,No
A0002,Captain,2021-08-12,FA680 -> FA2 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0002,Captain,2021-08-14,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0002,Captain,2021-08-15,FA680 -> FA681,Captain -> Captain,180,220,0,NKX,NKX,No
A0002,Captain,2021-08-16,FA680 -> FA681,Deadhead -> Captain,90,220,1,NKX,NKX,No
A0002,Captain,2021-08-18,FA888,Captain,140,140,0,NKX,XGS,Yes
A0002,Captain,2021-08-20,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0002,Captain,2021-08-21,FA864 -> FA865,Deadhead -> Captain,105,255,1,NKX,NKX,No
A0002,Captain,2021-08-22,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0002,Captain,2021-08-23,FA890,Captain,140,140,0,NKX,XGS,Yes
A0002,Captain,2021-08-25,FA884,Captain,140,140,0,NKX,XGS,Yes
A0003,Captain,2021-08-11,FA864 -> FA865,Deadhead -> Captain,105,255,1,NKX,NKX,No
A0003,Captain,2021-08-12,FA872,Captain,65,65,0,NKX,PLM,Yes
A0003,Captain,2021-08-13,FA864,Captain,105,105,0,NKX,PXB,Yes
A0003,Captain,2021-08-14,FA890 -> FA891,Captain -> Captain,280,320,0,NKX,NKX,No
A0003,Captain,2021-08-16,FA680,Captain,90,90,0,NKX,PGX,Yes
A0003,Captain,2021-08-18,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0003,Captain,2021-08-21,FA854 -> FA855,Captain -> Captain,205,245,0,NKX,NKX,No
A0003,Captain,2021-08-22,FA864 -> FA865,Deadhead -> Captain,105,255,1,NKX,NKX,No
A0003,Captain,2021-08-23,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0003,Captain,2021-08-24,FA890 -> FA885,Captain -> Captain,280,560,0,NKX,NKX,No
A0003,Captain,2021-08-25,FA812 -> FA813,Captain -> Captain,215,260,0,NKX,NKX,No
A0004,Captain,2021-08-11,FA680 -> FA681,Deadhead -> Captain,90,220,1,NKX,NKX,No
A0004,Captain,2021-08-12,FA864 -> FA865,Deadhead -> Captain,105,255,1,NKX,NKX,No
A0004,Captain,2021-08-14,FA872 -> FA873 -> FA884,Captain -> Captain -> Captain,275,355,0,NKX,XGS,Yes
A0004,Captain,2021-08-16,FA890,Captain,140,140,0,NKX,XGS,Yes
A0004,Captain,2021-08-17,FA680 -> FA681 -> FA854,Captain -> Captain -> Captain,280,450,0,NKX,CTH,Yes
A0004,Captain,2021-08-18,FA872 -> FA873 -> FA884,Captain -> Captain -> Captain,275,355,0,NKX,XGS,Yes
A0004,Captain,2021-08-21,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
A0004,Captain,2021-08-22,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0004,Captain,2021-08-23,FA864 -> FA865,Captain -> Captain,210,255,0,NKX,NKX,No
A0004,Captain,2021-08-24,FA872 -> FA873 -> FA812 -> FA813,Captain -> Captain -> Captain -> Captain,350,525,0,NKX,NKX,No
A0004,Captain,2021-08-25,FA890,Captain,140,140,0,NKX,XGS,Yes
A0005,Captain,2021-08-12,FA680 -> FA681,Deadhead -> Captain,90,220,1,NKX,NKX,No
A0005,Captain,2021-08-13,FA864 -> FA865,Deadhead -> Captain,105,255,1,NKX,NKX,No
A0005,FirstOfficer,2021-08-15,FA872 -> FA873 -> FA884 -> FA885,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,415,535,0,NKX,NKX,No
A0005,Captain,2021-08-16,FA884 -> FA885,Captain -> Captain,280,320,0,NKX,NKX,No
A0005,Captain,2021-08-17,FA890 -> FA891,Captain -> Captain,280,320,0,NKX,NKX,No
A0005,FirstOfficer,2021-08-18,FA888 -> FA889,Deadhead -> FirstOfficer,140,320,1,NKX,NKX,No
A0005,Captain,2021-08-21,FA680 -> FA681 -> FA864,Captain -> Captain -> Captain,285,675,0,NKX,PXB,Yes
A0005,Captain,2021-08-23,FA680 -> FA681 -> FA854 -> FA855,Captain -> Captain -> Captain -> Captain,385,595,0,NKX,NKX,No
A0005,Captain,2021-08-24,FA864 -> FA865,Captain -> Captain,210,255,0,NKX,NKX,No
A0005,FirstOfficer,2021-08-25,FA864 -> FA865,FirstOfficer -> FirstOfficer,210,255,0,NKX,NKX,No
A0006,FirstOfficer,2021-08-11,FA854 -> FA855,FirstOfficer -> FirstOfficer,205,250,0,NKX,NKX,No
A0006,FirstOfficer,2021-08-12,FA812 -> FA813,FirstOfficer -> FirstOfficer,215,260,0,NKX,NKX,No
A0006,FirstOfficer,2021-08-13,FA680 -> FA681 -> FA854 -> FA855,FirstOfficer -> FirstOfficer -> FirstOfficer -> FirstOfficer,385,595,0,NKX,NKX,No
A0006,Captain,2021-08-14,FA864 -> FA865,Captain -> Captain,210,255,0,NKX,NKX,No
A0006,Captain,2021-08-16,FA890 -> FA891,Deadhead -> Captain,140,320,1,NKX,NKX,No
