FlightNum,Date,DepartureTime,DepartureStation,ArrivalTime,ArrivalStation,Captain,CaptainRole,FirstOfficer,FirstOfficerRole,DeadheadCrew
FA680,2021-08-11,08:00,NKX,09:30,PGX,A0001,Captain,A0009,FirstOfficer,
FA681,2021-08-11,10:10,PGX,11:40,NKX,A0001,Captain,A0009,FirstOfficer,
FA884,2021-08-11,11:30,NKX,13:50,XGS,A0008,Captain,A0019,FirstOfficer,
FA812,2021-08-11,12:20,NKX,14:05,PDK,A0001,Captain,A0009,FirstOfficer,
FA885,2021-08-11,14:30,XGS,16:50,NKX,A0008,Captain,A0019,FirstOfficer,
FA813,2021-08-11,14:50,PDK,16:40,NKX,A0001,Captain,A0009,FirstOfficer,
FA854,2021-08-11,17:20,NKX,19:00,CTH,A0011,Captain,A0017,FirstOfficer,"A0002,A0006"
FA864,2021-08-11,17:30,NKX,19:15,PXB,A0008,Captain,A0019,FirstOfficer,"A0003,A0007"
FA855,2021-08-11,19:45,CTH,21:30,NKX,A0002,Captain,A0006,FirstOfficer,
FA865,2021-08-11,20:00,PXB,21:45,NKX,A0003,Captain,A0007,FirstOfficer,
FA872,2021-08-12,07:55,NKX,09:00,PLM,A0002,Captain,A0010,FirstOfficer,
FA680,2021-08-12,08:00,NKX,09:30,PGX,A0007,Captain,A0021,FirstOfficer,"A0011,A0012,A0001,A0013"
FA873,2021-08-12,09:40,PLM,10:50,NKX,A0002,Captain,A0010,FirstOfficer,
FA2,2021-08-12,10:10,PGX,11:40,NKX,A0007,Captain,A0021,FirstOfficer,
FA681,2021-08-12,10:10,PGX,11:40,NKX,A0001,Captain,A0013,FirstOfficer,
FA3,2021-08-12,10:25,PGX,11:40,NKX,A0011,Captain,A0012,FirstOfficer,
FA891,2021-08-12,10:30,XGS,12:50,NKX,UNCOVERED,,UNCOVERED,,
FA884,2021-08-12,11:30,NKX,13:50,XGS,A0009,Captain,A0020,FirstOfficer,
FA812,2021-08-12,12:20,NKX,14:05,PDK,A0006,Captain,A0016,FirstOfficer,
FA854,2021-08-12,13:50,NKX,15:30,CTH,A0002,Captain,A0010,FirstOfficer,
FA885,2021-08-12,14:30,XGS,16:50,NKX,A0009,Captain,A0020,FirstOfficer,
FA813,2021-08-12,14:50,PDK,16:40,NKX,A0006,Captain,A0016,FirstOfficer,
FA855,2021-08-12,16:10,CTH,17:55,NKX,A0002,Captain,A0010,FirstOfficer,
FA864,2021-08-12,17:30,NKX,19:15,PXB,A0004,Captain,A0008,FirstOfficer,
FA865,2021-08-12,20:00,PXB,21:45,NKX,A0004,Captain,A0008,FirstOfficer,
FA872,2021-08-13,07:55,NKX,09:00,PLM,A0003,Captain,A0019,FirstOfficer,"A0002,A0014"
FA680,2021-08-13,08:00,NKX,09:30,PGX,A0008,Captain,A0018,FirstOfficer,
FA873,2021-08-13,09:40,PLM,10:50,NKX,A0002,Captain,A0014,FirstOfficer,
FA681,2021-08-13,10:10,PGX,11:40,NKX,A0008,Captain,A0018,FirstOfficer,
FA884,2021-08-13,11:30,NKX,13:50,XGS,A0010,Captain,A0021,FirstOfficer,
FA812,2021-08-13,12:20,NKX,14:05,PDK,A0001,Captain,A0015,FirstOfficer,
FA854,2021-08-13,13:50,NKX,15:30,CTH,A0002,Captain,A0014,FirstOfficer,"A0007,A0006"
FA885,2021-08-13,14:30,XGS,16:50,NKX,A0010,Captain,A0021,FirstOfficer,
FA813,2021-08-13,14:50,PDK,16:40,NKX,A0001,Captain,A0015,FirstOfficer,
FA855,2021-08-13,16:10,CTH,17:55,NKX,A0007,Captain,A0006,FirstOfficer,
FA864,2021-08-13,17:30,NKX,19:15,PXB,A0008,Captain,A0018,FirstOfficer,"A0005,A0009"
FA865,2021-08-13,20:00,PXB,21:45,NKX,A0005,Captain,A0009,FirstOfficer,
FA890,2021-08-14,07:30,NKX,09:50,XGS,A0003,Captain,A0009,FirstOfficer,"A0005,A0012"
FA872,2021-08-14,07:55,NKX,09:00,PLM,A0004,Captain,A0013,FirstOfficer,
FA680,2021-08-14,08:00,NKX,09:30,PGX,A0008,Captain,A0007,FirstOfficer,
FA873,2021-08-14,09:40,PLM,10:50,NKX,A0004,Captain,A0013,FirstOfficer,
FA681,2021-08-14,10:10,PGX,11:40,NKX,A0008,Captain,A0007,FirstOfficer,
FA891,2021-08-14,10:30,XGS,12:50,NKX,A0005,Captain,A0012,FirstOfficer,
FA884,2021-08-14,11:30,NKX,13:50,XGS,A0004,Captain,A0013,FirstOfficer,
FA812,2021-08-14,12:20,NKX,14:05,PDK,A0002,Captain,A0016,FirstOfficer,
FA854,2021-08-14,13:50,NKX,15:30,CTH,A0008,Captain,A0007,FirstOfficer,
FA885,2021-08-14,14:30,XGS,16:50,NKX,A0004,Captain,A0013,FirstOfficer,
FA813,2021-08-14,14:50,PDK,16:40,NKX,A0002,Captain,A0016,FirstOfficer,
FA855,2021-08-14,16:10,CTH,17:55,NKX,A0008,Captain,A0007,FirstOfficer,
FA864,2021-08-14,17:30,NKX,19:15,PXB,A0006,Captain,A0010,FirstOfficer,
FA865,2021-08-14,20:00,PXB,21:45,NKX,A0006,Captain,A0010,FirstOfficer,
FA872,2021-08-15,07:55,NKX,09:00,PLM,A0004,Captain,A0020,FirstOfficer,"A0001,A0018"
FA680,2021-08-15,08:00,NKX,09:30,PGX,A0010,Captain,A0019,FirstOfficer,"A0002,A0014"
FA873,2021-08-15,09:40,PLM,10:50,NKX,A0001,Captain,A0018,FirstOfficer,
FA681,2021-08-15,10:10,PGX,11:40,NKX,A0002,Captain,A0014,FirstOfficer,
FA891,2021-08-15,10:30,XGS,12:50,NKX,UNCOVERED,,UNCOVERED,,
FA884,2021-08-15,11:30,NKX,13:50,XGS,A0011,Captain,A0005,FirstOfficer,
FA812,2021-08-15,12:20,NKX,14:05,PDK,A0007,Captain,A0012,FirstOfficer,
FA854,2021-08-15,13:50,NKX,15:30,CTH,A0003,Captain,A0015,FirstOfficer,"A0009,A0008"
FA885,2021-08-15,14:30,XGS,16:50,NKX,A0011,Captain,A0005,FirstOfficer,
FA813,2021-08-15,14:50,PDK,16:40,NKX,A0007,Captain,A0012,FirstOfficer,
FA855,2021-08-15,16:10,CTH,17:55,NKX,A0009,Captain,A0008,FirstOfficer,
FA864,2021-08-15,17:30,NKX,19:15,PXB,A0007,Captain,A0012,FirstOfficer,
FA865,2021-08-15,20:00,PXB,21:45,NKX,A0007,Captain,A0012,FirstOfficer,
FA890,2021-08-16,07:30,NKX,09:50,XGS,A0004,Captain,A0012,FirstOfficer,"A0006,A0015"
FA872,2021-08-16,07:55,NKX,09:00,PLM,A0005,Captain,A0014,FirstOfficer,
FA680,2021-08-16,08:00,NKX,09:30,PGX,A0011,Captain,A0020,FirstOfficer,
FA873,2021-08-16,09:40,PLM,10:50,NKX,A0005,Captain,A0014,FirstOfficer,
FA681,2021-08-16,10:10,PGX,11:40,NKX,A0011,Captain,A0020,FirstOfficer,
FA891,2021-08-16,10:30,XGS,12:50,NKX,A0006,Captain,A0015,FirstOfficer,
FA884,2021-08-16,11:30,NKX,13:50,XGS,A0005,Captain,A0014,FirstOfficer,
FA812,2021-08-16,12:20,NKX,14:05,PDK,A0003,Captain,A0017,FirstOfficer,
